ACS,Kills,Deaths,Assists,Difference,KAST,ADR,HS,FK,FD,Diff
173,26,30,10,-4,61%,110,19%,6,4,2
173,32,36,8,-4,67%,109,36%,3,7,-4
173,41,52,20,-11,61%,113,19%,6,5,1
173,21,30,15,-9,74%,118,22%,3,4,-1
173,23,30,7,-7,70%,106,38%,4,5,-1
173,24,22,18,2,72%,119,18%,4,7,-3
173,49,50,16,-1,69%,122,28%,6,11,-5
173,25,29,18,-4,79%,107,19%,2,6,-4
173,20,30,12,-10,56%,129,18%,1,1,0
173,27,37,7,-10,58%,104,26%,4,7,-3
173,25,32,7,-7,63%,123,34%,6,8,-2
173,37,60,13,-23,57%,112,22%,7,16,-9
173,37,44,17,-7,70%,110,24%,1,4,-3
174,46,47,17,-1,72%,124,17%,3,5,-2
174,28,31,11,-3,77%,113,24%,3,4,-1
174,41,43,20,-2,68%,107,24%,3,6,-3
174,32,38,12,-6,69%,111,17%,6,4,2
174,19,25,37,-6,79%,111,15%,2,2,0
174,13,18,8,-5,71%,108,23%,0,1,-1
174,40,59,16,-19,60%,118,20%,4,9,-5
174,29,24,11,5,73%,112,23%,5,4,1
174,35,32,20,3,75%,119,12%,3,3,0
174,25,33,14,-8,74%,120,19%,3,3,0
174,28,31,10,-3,69%,114,14%,2,3,-1
174,20,21,7,-1,69%,102,11%,5,5,0
174,12,16,1,-4,61%,110,23%,1,0,1
174,42,47,15,-5,67%,123,24%,3,5,-2
174,39,49,17,-10,64%,111,30%,3,3,0
174,41,50,31,-9,67%,102,27%,7,6,1
174,38,46,27,-8,72%,121,24%,0,2,-2
174,40,40,12,0,75%,128,23%,3,7,-4
174,39,51,14,-12,67%,120,25%,4,2,2
175,22,30,4,-8,63%,128,20%,5,4,1
175,47,46,30,1,72%,119,32%,4,7,-3
175,28,27,18,1,73%,119,33%,2,5,-3
175,26,31,3,-5,58%,129,27%,5,8,-3
175,21,36,10,-15,55%,120,31%,5,9,-4
175,34,46,14,-12,67%,112,28%,4,7,-3
175,36,41,29,-5,85%,123,19%,2,2,0
175,28,20,20,8,71%,115,25%,2,4,-2
175,27,30,5,-3,53%,119,24%,1,4,-3
175,17,16,6,1,69%,106,33%,1,3,-2
175,39,45,22,-6,73%,125,25%,4,2,2
175,24,29,8,-5,51%,110,23%,4,6,-2
175,25,36,9,-11,69%,132,23%,9,10,-1
175,22,33,7,-11,56%,118,26%,4,6,-2
175,27,30,18,-3,73%,115,21%,1,5,-4
175,30,45,14,-15,55%,121,27%,4,10,-6
175,24,31,12,-7,72%,134,19%,2,1,1
175,22,34,5,-12,49%,118,27%,3,7,-4
175,20,27,13,-7,64%,126,17%,0,3,-3
175,36,46,8,-10,58%,118,23%,4,5,-1
175,41,47,10,-6,67%,123,31%,2,4,-2
176,23,31,7,-8,48%,107,23%,4,4,0
176,38,45,16,-7,75%,119,29%,6,6,0
176,34,43,18,-9,70%,114,13%,2,5,-3
176,28,30,5,-2,73%,115,18%,6,4,2
176,22,32,13,-10,63%,125,21%,2,7,-5
176,26,22,8,4,89%,126,37%,2,6,-4
176,23,31,4,-8,50%,113,23%,6,6,0
176,43,52,29,-9,72%,116,16%,4,5,-1
176,24,21,9,3,79%,119,17%,0,2,-2
176,21,22,12,-1,76%,121,22%,5,3,2
176,29,31,5,-2,81%,99,24%,2,3,-1
176,28,20,8,8,74%,121,29%,1,4,-3
176,23,31,5,-8,56%,115,38%,4,3,1
176,24,33,7,-9,64%,118,22%,4,3,1
176,29,34,16,-5,71%,115,25%,7,6,1
176,43,45,26,-2,69%,107,25%,4,3,1
176,76,72,17,4,73%,123,27%,6,5,1
176,24,37,12,-13,63%,116,25%,0,5,-5
177,27,25,19,2,75%,122,24%,4,1,3
177,38,41,21,-3,69%,124,29%,5,6,-1
177,28,14,14,14,83%,119,15%,3,2,1
177,15,22,9,-7,71%,105,14%,3,7,-4
177,24,39,8,-15,56%,123,24%,9,11,-2
177,23,20,13,3,85%,107,16%,2,0,2
177,23,32,13,-9,61%,115,30%,5,4,1
177,42,45,29,-3,64%,121,20%,2,5,-3
177,31,44,7,-13,54%,119,17%,0,4,-4
177,41,44,16,-3,74%,116,25%,3,5,-2
177,27,21,3,6,64%,116,23%,1,2,-1
177,15,19,6,-4,67%,123,35%,0,1,-1
177,26,33,14,-7,79%,129,26%,0,1,-1
178,37,42,12,-5,67%,124,22%,7,12,-5
178,28,36,23,-8,67%,117,22%,4,2,2
178,35,41,17,-6,69%,123,21%,0,8,-8
178,35,42,18,-7,62%,125,24%,5,2,3
178,45,43,19,2,73%,125,23%,1,4,-3
178,42,53,29,-11,70%,122,19%,4,10,-6
178,44,52,21,-8,69%,108,16%,9,8,1
178,20,30,8,-10,49%,123,29%,3,3,0
178,35,35,28,0,78%,115,25%,2,4,-2
178,28,27,6,1,76%,116,35%,1,1,0
178,40,47,19,-7,66%,130,31%,3,5,-2
178,20,30,13,-10,64%,115,27%,0,2,-2
178,41,45,10,-4,63%,122,39%,4,5,-1
178,24,31,0,-7,53%,110,22%,5,4,1
178,28,28,10,0,74%,112,32%,5,3,2
179,26,28,19,-2,66%,124,13%,1,3,-2
179,26,28,19,-2,66%,124,13%,1,3,-2
179,31,47,23,-16,62%,119,24%,6,6,0
179,25,30,10,-5,68%,121,15%,2,2,0
179,26,25,7,1,66%,109,21%,5,5,0
179,42,48,7,-6,62%,109,27%,5,9,-4
179,24,29,7,-5,61%,113,21%,3,4,-1
179,23,34,11,-11,65%,118,21%,5,3,2
179,17,28,3,-11,39%,122,16%,0,5,-5
179,26,32,21,-6,69%,132,38%,1,6,-5
179,28,25,14,3,77%,115,25%,3,3,0
179,24,30,10,-6,63%,125,17%,4,2,2
179,8,12,4,-4,73%,116,23%,2,3,-1
179,23,28,8,-5,59%,121,24%,6,4,2
179,51,47,33,4,79%,117,26%,5,8,-3
179,63,73,24,-10,66%,117,31%,5,10,-5
179,50,59,8,-9,60%,112,22%,7,9,-2
179,27,37,12,-10,70%,125,21%,7,4,3
179,25,37,16,-12,72%,113,23%,0,3,-3
180,29,25,10,4,74%,121,35%,3,2,1
180,30,34,16,-4,69%,118,22%,5,6,-1
180,28,33,13,-5,59%,106,19%,3,5,-2
180,19,31,6,-12,50%,120,15%,4,5,-1
180,46,59,21,-13,70%,129,22%,8,7,1
180,26,29,8,-3,73%,120,27%,4,8,-4
180,13,13,9,0,70%,98,28%,3,1,2
180,35,49,4,-14,46%,115,31%,9,15,-6
180,27,32,5,-5,65%,122,36%,5,2,3
180,23,32,16,-9,69%,125,28%,2,2,0
180,38,52,18,-14,58%,118,18%,5,12,-7
180,26,22,13,4,76%,110,25%,2,3,-1
181,44,47,31,-3,75%,121,15%,6,7,-1
181,24,30,11,-6,63%,120,25%,2,5,-3
181,42,52,17,-10,66%,119,22%,5,6,-1
181,13,15,0,-2,62%,133,43%,4,2,2
181,15,13,3,2,71%,123,38%,2,1,1
181,35,38,14,-3,62%,128,22%,1,2,-1
181,25,28,10,-3,53%,124,27%,1,1,0
181,44,50,16,-6,63%,122,26%,6,7,-1
181,47,53,8,-6,65%,120,35%,11,4,7
181,25,27,10,-2,71%,118,21%,1,3,-2
181,42,43,12,-1,77%,132,21%,7,6,1
181,41,41,32,0,74%,114,21%,2,5,-3
181,11,18,9,-7,59%,122,35%,1,3,-2
181,18,19,4,-1,60%,136,15%,3,5,-
181,27,33,7,-6,76%,119,25%,5,5,0
181,49,53,20,-4,66%,121,29%,3,7,-4
181,50,67,25,-17,66%,121,27%,8,9,-1
181,50,44,28,6,78%,117,28%,1,0,1
181,41,34,20,7,78%,119,25%,2,1,1
181,40,36,15,4,75%,129,24%,4,3,1
181,30,30,12,0,79%,111,23%,3,2,1
181,25,23,11,2,79%,116,29%,4,3,1
181,32,27,20,5,88%,130,28%,2,3,-1
181,15,19,3,-4,75%,124,21%,6,6,0
181,31,30,5,1,66%,124,36%,1,3,-2
182,24,24,24,0,75%,117,26%,4,5,-1
182,29,34,6,-5,60%,123,25%,3,2,1
182,26,32,10,-6,72%,133,30%,2,3,-1
182,43,41,26,2,75%,122,20%,6,0,6
182,22,33,5,-11,53%,118,22%,5,7,-2
182,31,25,11,6,76%,113,16%,1,2,-1
182,26,30,19,-4,80%,125,25%,4,7,-3
182,14,16,8,-2,73%,139,22%,0,1,-1
182,26,25,4,1,69%,134,24%,5,5,0
182,13,11,5,2,70%,122,18%,4,4,0
182,40,37,25,3,73%,113,33%,6,6,0
182,21,28,3,-7,69%,118,37%,1,2,-1
182,26,33,6,-7,56%,118,19%,4,9,-5
182,39,48,19,-9,70%,132,28%,5,9,-4
183,45,38,17,7,73%,130,46%,5,5,0
183,13,11,11,2,71%,139,33%,2,1,1
183,31,31,11,0,70%,118,24%,0,2,-2
183,34,39,16,-5,83%,132,24%,5,5,0
183,21,30,4,-9,56%,128,34%,1,8,-7
183,25,22,14,3,72%,118,13%,3,1,2
183,27,34,6,-7,65%,120,34%,5,8,-3
183,46,51,25,-5,73%,124,33%,8,7,1
183,29,29,14,0,74%,126,20%,2,8,-6
183,25,22,10,3,83%,130,24%,2,2,0
183,26,36,7,-10,56%,121,10%,6,9,-3
183,47,51,19,-4,74%,124,27%,3,8,-5
183,42,51,29,-9,66%,125,26%,3,8,-5
183,41,46,11,-5,79%,129,28%,1,4,-3
183,60,68,18,-8,72%,125,21%,6,10,-4
183,39,54,16,-15,62%,120,27%,3,7,-4
183,28,30,18,-2,67%,130,35%,0,3,-3
183,18,28,4,-10,53%,116,38%,3,4,-1
183,41,53,17,-12,58%,126,25%,2,8,-6
183,28,29,6,-1,55%,110,17%,0,3,-3
183,24,34,6,-10,59%,111,23%,2,9,-7
184,25,21,15,4,79%,121,32%,1,3,-2
184,29,39,21,-10,69%,125,21%,5,8,-3
184,77,72,43,5,72%,117,17%,4,11,-7
184,46,44,17,2,74%,126,29%,3,5,-2
184,39,51,24,-12,60%,117,16%,8,11,-3
184,33,36,14,-3,65%,134,23%,3,13,-10
184,12,6,7,6,87%,106,25%,2,1,1
184,42,44,22,-2,77%,126,20%,3,0,3
184,41,50,39,-9,70%,123,21%,4,4,0
184,31,31,10,0,69%,107,22%,1,4,-3
184,62,70,8,-8,62%,123,38%,12,16,-4
184,29,33,7,-4,63%,120,25%,3,0,3
184,28,34,10,-6,69%,132,29%,4,5,-1
184,41,38,12,3,78%,123,28%,4,3,1
185,36,38,17,-2,67%,117,22%,5,8,-3
185,40,43,13,-3,70%,129,38%,2,9,-7
185,30,30,6,0,64%,135,25%,1,6,-5
185,14,13,4,1,76%,125,24%,0,0,0
185,13,17,2,-4,52%,122,22%,4,4,0
185,15,19,8,-4,73%,129,28%,2,1,1
185,40,50,10,-10,70%,126,28%,9,12,-3
185,23,22,13,1,80%,122,31%,2,1,1
185,29,34,15,-5,67%,120,30%,6,6,0
185,44,57,15,-13,69%,113,13%,2,6,-4
185,24,21,19,3,92%,118,19%,2,1,1
185,14,15,11,-1,95%,130,26%,3,2,1
185,17,19,6,-2,54%,115,19%,3,3,0
185,23,36,16,-13,72%,110,23%,3,5,-2
186,22,31,11,-9,62%,127,20%,4,6,-2
186,22,29,3,-7,47%,120,28%,3,6,-3
186,42,41,18,1,67%,135,29%,2,9,-7
186,31,27,12,4,75%,107,15%,3,1,2
186,47,48,26,-1,69%,115,21%,6,3,3
186,14,14,7,0,75%,141,17%,2,1,1
186,28,31,15,-3,65%,113,23%,6,8,-2
186,45,52,12,-7,69%,136,26%,4,1,3
186,25,32,9,-7,76%,127,21%,4,9,-5
186,58,53,20,5,66%,130,29%,12,6,6
186,25,30,9,-5,66%,134,25%,2,2,0
186,26,26,13,0,73%,120,30%,3,2,1
186,24,34,5,-10,59%,118,34%,5,6,-1
186,44,64,25,-20,68%,122,28%,10,7,3
186,62,62,28,0,73%,127,19%,3,8,-5
186,30,39,12,-9,71%,128,25%,7,4,3
187,26,24,25,2,79%,125,21%,0,0,0
187,24,30,15,-6,67%,130,21%,3,5,-2
187,69,74,39,-5,77%,119,15%,7,6,1
187,41,39,22,2,85%,120,29%,4,5,-1
187,72,77,30,-5,71%,123,19%,9,12,-3
187,41,50,27,-9,67%,127,21%,6,6,0
187,48,51,21,-3,65%,106,15%,6,8,-2
187,25,30,15,-5,68%,126,28%,3,4,-1
188,49,53,10,-4,71%,124,22%,17,10,7
188,20,28,13,-8,67%,132,28%,1,1,0
188,45,51,19,-6,66%,128,31%,5,10,-5
188,39,37,12,2,71%,125,30%,3,4,-1
188,25,27,13,-2,71%,129,17%,1,2,-1
188,14,15,4,-1,76%,127,32%,3,2,1
188,33,33,9,0,65%,132,45%,1,1,0
188,24,29,6,-5,61%,125,24%,4,5,-1
188,24,36,4,-12,55%,127,36%,6,7,-1
188,40,50,13,-10,62%,127,23%,6,13,-7
188,24,16,16,8,77%,123,28%,3,3,0
188,29,27,4,2,68%,114,29%,6,3,3
188,45,46,9,-1,68%,120,28%,6,2,4
188,35,37,5,-2,63%,117,20%,8,11,-3
188,61,67,13,-6,64%,125,27%,16,11,5
188,24,31,6,-7,56%,119,30%,2,2,0
188,27,33,6,-6,54%,117,24%,3,7,-4
189,25,29,10,-4,58%,128,17%,3,2,1
189,39,52,6,-13,55%,124,43%,4,15,-11
189,42,48,24,-6,70%,129,31%,3,2,1
189,29,22,11,7,79%,128,17%,2,4,-2
189,28,39,9,-11,64%,134,26%,1,3,-2
189,14,14,7,0,64%,142,21%,1,1,0
189,33,35,4,-2,63%,127,24%,5,2,3
189,44,50,38,-6,75%,122,14%,6,7,-1
189,29,26,14,3,72%,120,21%,3,5,-2
189,53,50,14,3,71%,131,28%,4,3,1
189,27,34,16,-7,70%,135,31%,2,3,-1
189,41,46,21,-5,70%,138,38%,2,7,-5
189,42,44,18,-2,78%,115,23%,6,8,-2
189,49,49,17,0,70%,122,19%,5,8,-3
189,33,45,11,-12,67%,115,25%,4,3,1
189,26,29,7,-3,61%,133,21%,4,5,-1
190,32,38,12,-6,81%,122,21%,7,6,1
190,46,40,17,6,72%,127,28%,2,5,-3
190,74,90,21,-16,62%,129,20%,17,26,-9
190,44,39,11,5,77%,128,32%,2,3,-1
190,22,32,9,-10,67%,133,23%,2,3,-1
190,24,30,7,-6,64%,128,33%,3,3,0
190,15,19,4,-4,75%,122,17%,2,4,-2
190,41,38,27,3,77%,130,12%,6,5,1
190,25,37,6,-12,66%,118,23%,3,2,1
190,46,47,24,-1,76%,130,20%,1,6,-5
190,21,22,8,-1,83%,107,29%,4,3,1
190,25,33,14,-8,67%,121,24%,2,4,-2
190,21,25,3,-4,53%,120,27%,1,1,0
190,40,34,10,6,69%,126,28%,5,5,0
190,49,53,16,-4,67%,123,31%,4,7,-3
190,29,25,10,4,68%,127,35%,3,5,-2
190,39,43,26,-4,76%,134,20%,4,6,-2
190,41,40,25,1,79%,131,19%,2,5,-3
190,34,33,8,1,73%,117,24%,2,3,-1
191,26,18,16,8,84%,120,11%,2,4,-2
191,27,27,9,0,73%,141,35%,3,3,0
191,40,41,22,-1,69%,118,11%,3,2,1
191,15,15,1,0,55%,119,48%,1,3,-2
191,31,28,11,3,71%,123,33%,1,6,-5
191,25,31,11,-6,61%,128,23%,5,3,2
191,25,23,17,2,77%,125,23%,3,1,2
191,44,44,13,0,62%,123,34%,6,5,1
191,45,51,21,-6,68%,130,29%,6,9,-3
191,42,53,23,-11,64%,138,34%,4,3,1
191,46,49,14,-3,58%,123,20%,5,16,-11
191,32,28,10,4,74%,110,22%,1,3,-2
191,27,34,2,-7,53%,133,23%,3,6,-3
191,26,30,6,-4,69%,131,43%,4,8,-4
191,23,32,7,-9,50%,126,27%,2,7,-5
191,44,33,18,11,75%,127,33%,1,5,-4
192,28,27,19,1,78%,121,43%,4,3,1
192,40,35,23,5,77%,130,21%,5,5,0
192,41,48,13,-7,66%,129,37%,7,9,-2
192,42,50,19,-8,61%,132,25%,6,5,1
192,28,21,14,7,82%,132,27%,2,2,0
192,40,42,28,-2,74%,123,14%,3,9,-6
192,26,21,13,5,84%,128,16%,1,1,0
192,39,46,16,-7,68%,128,32%,5,2,3
192,24,21,17,3,74%,135,34%,4,3,1
192,20,23,3,-3,70%,122,31%,3,5,-2
192,12,15,9,-3,70%,118,17%,3,1,2
192,25,20,9,5,75%,125,23%,6,3,3
192,50,62,22,-12,64%,125,34%,9,12,-3
192,40,35,11,5,75%,128,31%,8,8,0
192,28,36,12,-8,72%,131,44%,1,4,-3
192,30,23,19,7,79%,120,25%,4,3,1
192,16,28,5,-12,55%,130,26%,4,7,-3
192,28,36,13,-8,63%,129,18%,2,5,-3
193,41,42,15,-1,73%,132,23%,3,7,-4
193,22,32,13,-10,66%,134,14%,2,6,-4
193,31,34,11,-3,61%,147,25%,6,9,-3
193,28,31,10,-3,79%,141,24%,7,8,-1
193,31,36,16,-5,73%,127,32%,5,3,2
193,50,55,15,-5,67%,122,20%,11,4,7
193,32,32,9,0,64%,120,15%,3,4,-1
193,34,38,21,-4,71%,129,23%,6,4,2
193,31,21,6,10,71%,121,24%,3,2,1
193,32,28,3,4,63%,133,29%,1,7,-6
193,30,29,13,1,77%,140,33%,1,2,-1
193,74,74,31,0,71%,125,25%,9,5,4
193,37,41,11,-4,63%,128,30%,8,1,7
194,27,33,14,-6,68%,122,46%,4,6,-2
194,28,38,9,-10,61%,129,30%,5,4,1
194,40,48,13,-8,65%,123,23%,5,4,1
194,27,33,14,-6,68%,122,46%,4,6,-2
194,36,44,17,-8,76%,126,20%,6,6,0
194,43,39,25,4,68%,119,19%,4,3,1
194,30,26,10,4,74%,131,33%,2,4,-2
194,29,22,11,7,81%,113,24%,1,2,-1
194,26,18,5,8,81%,119,44%,3,2,1
194,24,33,11,-9,73%,137,27%,4,5,-1
194,38,50,7,-12,62%,125,20%,6,11,-5
194,31,38,10,-7,65%,143,25%,2,7,-5
194,24,27,8,-3,66%,129,38%,1,1,0
194,46,48,17,-2,71%,130,34%,5,11,-6
194,25,29,10,-4,59%,128,29%,3,6,-3
194,25,33,6,-8,64%,121,21%,4,2,2
194,21,21,29,0,77%,135,24%,3,3,0
194,49,51,18,-2,69%,140,21%,13,5,8
194,48,34,12,14,76%,134,36%,2,4,-2
194,28,25,17,3,83%,150,27%,0,5,-5
194,24,23,15,1,77%,125,23%,5,1,4
194,37,36,24,1,83%,149,20%,3,2,1
194,28,23,10,5,76%,129,31%,1,3,-2
195,28,29,11,-1,70%,136,27%,4,1,3
195,24,30,7,-6,57%,119,42%,6,3,3
195,16,12,12,4,77%,133,19%,2,1,1
195,27,32,6,-5,63%,129,16%,6,4,2
195,25,34,3,-9,56%,126,26%,5,3,2
195,16,15,5,1,81%,123,32%,0,1,-1
195,32,36,5,-4,56%,137,32%,6,7,-1
195,50,44,15,6,76%,131,22%,7,2,5
195,33,25,21,8,89%,131,32%,4,2,2
195,26,23,12,3,87%,116,11%,5,1,4
195,33,36,5,-3,72%,133,31%,2,6,-4
195,46,43,20,3,72%,124,29%,6,6,0
196,30,25,7,5,86%,136,28%,7,3,4
196,27,34,10,-7,61%,130,29%,3,5,-2
196,43,43,12,0,71%,123,28%,6,8,-2
196,51,48,7,3,64%,144,34%,0,9,-9
196,47,51,13,-4,69%,124,16%,10,10,0
196,47,45,22,2,70%,124,28%,3,4,-1
196,26,19,11,7,78%,112,20%,6,6,0
196,21,16,4,5,75%,131,40%,0,0,0
196,30,23,15,7,83%,120,22%,3,1,2
196,33,37,11,-4,65%,136,31%,1,4,-3
196,23,20,7,3,70%,125,28%,3,3,0
196,34,33,17,1,75%,119,22%,2,4,-2
196,37,35,9,2,73%,124,22%,2,7,-5
196,48,46,10,2,70%,129,19%,1,6,-5
196,26,21,15,5,70%,134,34%,2,8,-6
196,49,52,26,-3,74%,125,13%,4,5,-1
196,46,44,19,2,77%,133,17%,4,8,-4
196,30,31,6,-1,62%,128,14%,5,6,-1
196,31,29,9,2,80%,131,25%,5,3,2
196,26,31,14,-5,74%,137,13%,3,2,1
196,44,40,22,4,77%,140,45%,5,4,1
196,41,51,13,-10,68%,130,29%,11,10,1
196,44,51,11,-7,61%,135,32%,8,17,-9
196,24,28,24,-4,81%,142,19%,6,4,2
196,37,39,13,-2,74%,122,21%,4,2,2
196,39,42,15,-3,70%,133,30%,8,2,6
196,27,22,10,5,90%,129,20%,5,4,1
196,29,31,8,-2,59%,124,22%,3,4,-1
197,28,27,11,1,73%,135,30%,2,4,-2
197,35,41,15,-6,63%,119,30%,7,4,3
197,36,42,6,-6,63%,122,23%,10,11,-1
197,43,49,15,-6,69%,140,28%,7,13,-6
197,19,15,6,4,83%,120,29%,2,0,2
197,18,16,4,2,67%,118,27%,3,6,-3
197,31,28,16,3,85%,145,43%,0,2,-2
197,46,49,22,-3,73%,130,25%,6,8,-2
197,13,14,9,-1,67%,152,32%,1,3,-2
197,32,29,9,3,71%,128,33%,5,3,2
197,41,33,10,8,75%,130,20%,6,5,1
197,24,33,8,-9,67%,134,23%,7,6,1
197,76,64,34,12,80%,125,23%,4,8,-4
197,25,29,2,-4,50%,125,43%,8,7,1
198,29,23,10,6,73%,132,38%,4,4,0
198,27,34,10,-7,70%,126,17%,4,7,-3
198,34,34,6,0,69%,147,30%,2,4,-2
198,48,47,18,1,70%,120,25%,7,7,0
198,26,31,3,-5,67%,127,35%,5,4,1
198,48,42,21,6,78%,130,35%,2,1,1
198,46,48,17,-2,70%,143,33%,6,6,0
198,32,28,10,4,73%,135,27%,2,2,0
198,21,32,16,-11,66%,145,28%,2,2,0
198,30,35,6,-5,61%,136,30%,6,11,-5
198,43,52,17,-9,72%,129,20%,6,15,-9
198,14,15,5,-1,55%,138,27%,3,3,0
198,26,31,9,-5,66%,129,18%,8,8,0
199,27,35,14,-8,61%,149,27%,3,5,-2
199,25,34,9,-9,65%,133,22%,8,4,4
199,25,28,8,-3,58%,139,33%,3,4,-1
199,27,35,14,-8,61%,149,27%,3,5,-2
199,49,47,21,2,72%,135,37%,6,10,-4
199,48,47,15,1,75%,129,16%,10,2,8
199,32,30,11,2,71%,139,26%,3,7,-4
199,15,9,3,6,84%,151,33%,4,0,4
199,27,22,17,5,87%,131,18%,7,4,3
199,23,29,5,-6,62%,137,27%,2,2,0
199,17,12,5,5,86%,108,19%,2,0,2
199,32,29,13,3,64%,132,30%,2,3,-1
199,45,39,20,6,76%,123,28%,5,6,-1
199,38,29,16,9,77%,129,35%,9,5,4
199,29,24,10,5,76%,130,28%,3,0,3
199,50,45,29,5,76%,128,33%,2,6,-4
199,38,32,25,6,75%,132,33%,3,3,0
199,50,47,27,3,81%,132,30%,6,5,1
200,51,51,25,0,72%,145,22%,5,2,3
200,44,30,8,14,78%,127,27%,1,2,-1
200,42,43,13,-1,68%,125,27%,8,6,2
200,30,35,7,-5,61%,136,22%,3,11,-8
200,39,35,22,4,78%,140,34%,0,4,-4
200,30,34,14,-4,74%,130,33%,3,3,0
200,45,50,17,-5,73%,146,26%,12,11,1
200,35,42,15,-7,64%,137,17%,7,9,-2
200,47,47,11,0,76%,135,14%,7,5,2
200,48,46,15,2,76%,140,31%,5,5,0
200,38,29,24,9,69%,125,21%,0,5,-5
200,74,81,21,-7,71%,138,31%,17,25,-8
200,27,18,11,9,85%,124,26%,6,3,3
200,29,29,15,0,78%,128,29%,1,1,0
200,16,20,1,-4,50%,120,30%,4,5,-1
200,44,43,19,1,68%,128,28%,9,7,2
200,25,33,4,-8,58%,121,33%,7,6,1
201,24,21,15,3,81%,134,18%,1,2,-1
201,41,37,15,4,68%,131,17%,9,9,0
201,31,33,10,-2,73%,140,28%,2,2,0
201,40,39,19,1,74%,128,28%,4,7,-3
201,40,48,9,-8,62%,135,27%,5,6,-1
201,40,43,15,-3,67%,133,29%,8,10,-2
201,44,48,9,-4,65%,131,19%,4,11,-7
201,46,44,13,2,69%,129,23%,6,9,-3
201,27,30,9,-3,75%,132,31%,1,3,-2
201,51,49,8,2,67%,140,22%,3,11,-8
201,40,47,8,-7,59%,136,14%,6,6,0
201,29,24,13,5,73%,134,22%,4,1,3
201,51,50,26,1,66%,144,29%,5,2,3
201,16,15,11,1,83%,127,22%,1,1,0
201,53,48,16,5,70%,126,21%,6,5,1
201,57,51,19,6,79%,124,17%,4,9,-5
201,24,16,18,8,84%,144,30%,3,3,0
201,29,35,4,-6,66%,126,25%,10,10,0
201,47,41,19,6,70%,142,24%,3,0,3
201,45,55,18,-10,61%,141,19%,2,2,0
201,32,33,4,-1,67%,118,16%,6,5,1
201,29,22,10,7,80%,136,24%,3,2,1
202,30,25,9,5,65%,125,31%,4,0,4
202,29,25,14,4,70%,125,36%,0,6,-6
202,22,33,15,-11,68%,142,28%,2,2,0
202,25,32,8,-7,70%,135,27%,1,2,-1
202,29,36,19,-7,65%,136,31%,7,6,1
202,76,83,27,-7,76%,129,18%,16,6,10
202,43,38,17,5,74%,125,24%,4,8,-4
202,36,42,20,-6,63%,136,24%,4,3,1
202,39,36,14,3,73%,131,31%,2,2,0
202,31,30,14,1,71%,131,39%,2,4,-2
202,30,24,12,6,88%,137,29%,2,5,-3
202,21,27,2,-6,55%,127,29%,2,8,-6
202,20,16,8,4,73%,140,33%,2,4,-2
202,26,18,11,8,83%,140,31%,3,1,2
202,43,42,14,1,67%,127,33%,7,10,-3
202,17,11,6,6,65%,102,42%,4,1,3
202,15,17,4,-2,76%,123,14%,6,7,-1
202,52,47,19,5,71%,137,33%,5,5,0
202,49,51,22,-2,77%,134,23%,4,4,0
202,30,32,6,-2,60%,134,31%,8,6,2
202,52,44,21,8,69%,125,31%,4,6,-2
202,46,50,17,-4,74%,136,25%,8,9,-1
202,38,47,24,-9,73%,143,14%,6,3,3
202,42,45,23,-3,80%,134,19%,0,1,-1
202,44,50,18,-6,64%,134,26%,10,8,2
202,24,33,14,-9,67%,134,35%,1,3,-2
202,30,22,17,8,83%,123,22%,2,2,0
202,27,34,11,-7,65%,141,23%,4,4,0
203,39,45,24,-6,72%,127,25%,11,4,7
203,43,43,19,0,68%,126,36%,3,7,-4
203,51,45,14,6,67%,141,26%,5,9,-4
203,51,54,33,-3,74%,147,28%,7,8,-1
203,27,21,13,6,86%,133,24%,3,5,-2
203,30,32,10,-2,64%,143,27%,3,5,-2
203,20,30,10,-10,69%,135,25%,12,12,0
203,29,28,18,1,72%,130,31%,5,5,0
203,9,14,2,-5,73%,151,13%,2,1,1
203,55,59,30,-4,70%,143,21%,1,1,0
203,71,69,28,2,70%,143,33%,9,3,6
203,44,36,21,8,84%,132,23%,3,3,0
203,42,49,16,-7,70%,139,24%,10,9,1
203,40,40,18,0,67%,137,21%,7,6,1
203,34,34,5,0,64%,133,29%,5,8,-3
203,36,29,15,7,77%,130,31%,1,1,0
203,23,16,14,7,84%,141,23%,6,2,4
203,41,43,7,-2,57%,132,35%,6,12,-6
204,34,37,17,-3,73%,130,24%,3,3,0
204,32,30,9,2,75%,136,21%,3,8,-5
204,40,52,17,-12,67%,147,16%,10,9,1
204,18,13,4,5,65%,125,28%,3,0,3
204,30,29,4,1,61%,130,31%,3,6,-3
204,42,57,10,-15,54%,129,28%,10,13,-3
204,30,31,10,-1,67%,121,24%,2,2,0
204,27,32,2,-5,59%,145,30%,10,11,-1
204,46,48,17,-2,73%,137,17%,6,4,2
204,49,42,11,7,72%,146,26%,5,3,2
204,28,31,3,-3,62%,133,33%,9,6,3
204,45,46,3,-1,62%,125,29%,8,10,-2
204,41,48,17,-7,67%,138,19%,10,14,-4
204,29,34,20,-5,67%,142,34%,7,4,3
204,81,75,25,6,70%,140,30%,8,13,-5
204,35,39,10,-4,63%,136,28%,6,2,4
204,22,22,10,0,77%,124,18%,2,1,1
204,26,24,20,2,87%,127,12%,1,3,-2
205,27,32,8,-5,55%,140,20%,6,7,-1
205,32,21,15,11,81%,137,26%,3,7,-4
205,24,30,8,-6,72%,138,32%,2,8,-6
